wave,flux,std
4002.017,7.73e-16,1.85e-16
4006.435,9.98e-16,2.01e-16
4010.854,8.34e-16,1.98e-16
4015.273,1.18e-15,2.08e-16
4019.691,9.87e-16,1.95e-16
4024.109,9.07e-16,1.88e-16
4028.527,7.89e-16,1.85e-16
4032.944,3.08e-16,1.76e-16
4037.362,1.21e-15,2.20e-16
4041.779,1.38e-15,2.26e-16
4046.196,2.10e-15,2.25e-16
4050.613,1.16e-15,1.91e-16
4055.03,1.25e-15,1.83e-16
4059.446,8.76e-16,1.62e-16
4063.863,7.04e-16,1.73e-16
4068.279,1.21e-15,1.88e-16
4072.695,4.57e-16,1.65e-16
4077.11,1.67e-15,2.21e-16
4081.526,1.46e-15,2.18e-16
4085.941,1.23e-15,2.05e-16
4090.356,1.11e-15,1.99e-16
4094.771,1.20e-15,1.91e-16
4099.186,6.55e-16,1.55e-16
4103.6,2.79e-16,1.38e-16
4108.015,5.09e-16,1.36e-16
4112.429,8.35e-16,1.43e-16
4116.843,6.94e-16,1.24e-16
4121.257,1.31e-15,1.45e-16
4125.67,9.51e-16,1.38e-16
4130.084,5.03e-16,1.22e-16
4134.497,6.94e-16,1.39e-16
4138.91,8.93e-16,1.55e-16
4143.323,8.30e-16,1.53e-16
4147.735,3.28e-16,1.26e-16
4152.148,1.30e-15,1.48e-16
4156.56,8.42e-16,1.31e-16
4160.972,3.22e-16,1.14e-16
4165.384,3.33e-16,1.21e-16
4169.796,1.73e-15,1.71e-16
4174.208,1.12e-15,1.50e-16
4178.619,9.45e-16,1.47e-16
4183.03,1.09e-15,1.41e-16
4187.441,9.52e-16,1.38e-16
4191.852,4.31e-16,1.18e-16
4196.263,8.97e-16,1.37e-16
4200.673,1.18e-15,1.49e-16
4205.083,1.40e-15,1.58e-16
4209.494,7.38e-16,1.35e-16
4213.903,1.08e-15,1.39e-16
4218.313,7.05e-16,1.30e-16
4222.723,1.28e-15,1.44e-16
4227.132,9.56e-16,1.38e-16
4231.541,8.51e-16,1.39e-16
4235.95,1.20e-15,1.49e-16
4240.359,1.40e-15,1.56e-16
4244.768,1.29e-15,1.49e-16
4249.177,1.15e-15,1.46e-16
4253.585,1.02e-15,1.39e-16
4257.993,1.42e-15,1.51e-16
4262.401,1.22e-15,1.44e-16
4266.809,5.79e-16,1.28e-16
4271.217,8.82e-16,1.40e-16
4275.624,3.81e-16,1.25e-16
4280.031,8.35e-16,1.40e-16
4284.438,1.27e-15,1.54e-16
4288.845,9.99e-16,1.43e-16
4293.252,8.64e-16,1.37e-16
4297.659,6.62e-16,1.31e-16
4302.065,1.05e-15,1.40e-16
4306.472,8.09e-16,1.44e-16
4310.878,2.41e-16,1.34e-16
4315.284,9.94e-16,1.63e-16
4319.69,1.02e-15,1.63e-16
4324.095,9.04e-16,1.67e-16
4328.501,1.21e-15,1.76e-16
4332.906,6.55e-16,1.59e-16
4337.311,9.92e-16,1.71e-16
4341.716,1.00e-15,1.72e-16
4346.121,5.33e-16,1.73e-16
4350.525,6.21e-16,1.79e-16
4354.93,1.13e-15,1.79e-16
4359.334,4.81e-16,1.44e-16
4363.738,7.59e-16,1.43e-16
4368.142,1.13e-15,1.50e-16
4372.546,5.21e-16,1.54e-16
4376.95,1.95e-15,1.92e-16
4381.353,9.12e-16,1.77e-16
4385.757,8.80e-16,1.73e-16
4390.16,8.48e-16,1.63e-16
4394.563,7.76e-16,1.59e-16
4398.966,1.29e-15,1.67e-16
4403.369,1.10e-15,1.70e-16
4407.771,1.12e-15,1.81e-16
4412.174,1.09e-15,1.88e-16
4416.576,6.67e-16,1.79e-16
4420.978,1.30e-15,1.84e-16
4425.38,9.11e-16,1.73e-16
4429.782,7.84e-16,1.72e-16
4434.183,1.09e-15,1.80e-16
4438.585,8.88e-16,1.87e-16
4442.986,5.49e-16,1.88e-16
4447.387,1.35e-15,2.00e-16
4451.788,1.17e-15,1.97e-16
4456.189,6.06e-16,1.85e-16
4460.59,7.52e-16,1.87e-16
4464.99,1.17e-15,1.92e-16
4469.391,6.04e-16,1.86e-16
4473.791,1.27e-15,2.02e-16
4478.191,1.28e-15,1.99e-16
4482.591,1.15e-15,1.97e-16
4486.991,6.18e-16,1.89e-16
4491.391,1.33e-15,1.96e-16
4495.79,1.51e-15,1.97e-16
4500.19,6.98e-16,1.85e-16
4504.589,7.46e-16,1.86e-16
4508.988,8.67e-16,1.88e-16
4513.387,1.58e-15,1.96e-16
4517.786,2.05e-15,2.02e-16
4522.184,1.22e-15,1.90e-16
4526.583,8.49e-16,1.82e-16
4530.981,1.25e-15,1.86e-16
4535.379,1.26e-15,1.80e-16
4539.777,9.86e-16,1.76e-16
4544.175,1.21e-15,1.76e-16
4548.573,1.12e-15,1.72e-16
4552.971,1.02e-15,1.69e-16
4557.368,1.04e-15,1.66e-16
4561.766,1.69e-15,1.73e-16
4566.163,8.89e-16,1.58e-16
4570.56,1.41e-15,1.63e-16
4574.957,1.16e-15,1.57e-16
4579.354,1.22e-15,1.56e-16
4583.751,8.30e-16,1.47e-16
4588.147,9.47e-16,1.48e-16
4592.544,1.66e-15,1.56e-16
4596.94,1.09e-15,1.45e-16
4601.336,1.06e-15,1.42e-16
4605.732,9.70e-16,1.40e-16
4610.128,1.31e-15,1.43e-16
4614.524,1.22e-15,1.39e-16
4618.919,7.92e-16,1.30e-16
4623.315,1.17e-15,1.35e-16
4627.71,8.33e-16,1.28e-16
4632.105,1.34e-15,1.37e-16
4636.5,1.19e-15,1.31e-16
4640.895,1.39e-15,1.33e-16
4645.29,1.67e-15,1.37e-16
4649.685,1.27e-15,1.30e-16
4654.079,1.09e-15,1.25e-16
4658.474,1.09e-15,1.24e-16
4662.868,8.71e-16,1.18e-16
4667.262,1.44e-15,1.25e-16
4671.656,1.43e-15,1.26e-16
4676.05,1.10e-15,1.19e-16
4680.444,1.02e-15,1.18e-16
4684.838,1.03e-15,1.15e-16
4689.231,1.19e-15,1.15e-16
4693.625,1.17e-15,1.15e-16
4698.018,1.44e-15,1.17e-16
4702.411,1.20e-15,1.14e-16
4706.804,1.09e-15,1.10e-16
4711.197,1.10e-15,1.08e-16
4715.59,1.09e-15,1.07e-16
4719.983,7.54e-16,1.02e-16
4724.375,9.51e-16,1.03e-16
4728.768,1.20e-15,1.09e-16
4733.16,1.28e-15,1.11e-16
4737.552,1.28e-15,1.09e-16
4741.944,1.35e-15,1.08e-16
4746.336,1.27e-15,1.05e-16
4750.728,1.17e-15,1.02e-16
4755.12,1.07e-15,1.00e-16
4759.511,1.08e-15,9.84e-17
4763.903,1.23e-15,9.94e-17
4768.294,1.08e-15,9.69e-17
4772.685,9.57e-16,9.46e-17
4777.077,1.12e-15,9.70e-17
4781.468,1.12e-15,9.75e-17
4785.858,1.05e-15,9.51e-17
4790.249,1.18e-15,9.59e-17
4794.64,1.20e-15,9.50e-17
4799.031,1.17e-15,9.63e-17
4803.421,1.38e-15,9.86e-17
4807.811,8.66e-16,9.02e-17
4812.202,1.24e-15,9.73e-17
4816.592,1.55e-15,1.03e-16
4820.982,1.22e-15,9.66e-17
4825.372,1.08e-15,9.02e-17
4829.761,9.40e-16,8.90e-17
4834.151,1.38e-15,9.87e-17
4838.541,1.38e-15,9.97e-17
4842.93,9.69e-16,9.73e-17
4847.319,1.50e-15,1.05e-16
4851.709,1.23e-15,1.04e-16
4856.098,1.19e-15,1.02e-16
4860.487,1.09e-15,9.87e-17
4864.876,1.19e-15,9.87e-17
4869.265,1.75e-15,1.08e-16
4873.653,1.38e-15,1.01e-16
4878.042,1.28e-15,9.83e-17
4882.431,9.17e-16,8.93e-17
4886.819,1.04e-15,9.06e-17
4891.207,1.21e-15,9.31e-17
4895.595,9.50e-16,8.82e-17
4899.984,1.01e-15,9.02e-17
4904.372,1.27e-15,9.78e-17
4908.759,9.02e-16,9.04e-17
4913.147,1.60e-15,1.04e-16
4917.535,1.10e-15,9.19e-17
4921.923,1.18e-15,9.36e-17
4926.31,1.33e-15,9.62e-17
4930.698,9.96e-16,9.02e-17
4935.085,1.26e-15,9.78e-17
4939.472,9.85e-16,9.16e-17
4943.859,1.30e-15,9.69e-17
4948.246,1.19e-15,9.49e-17
4952.633,1.42e-15,9.82e-17
4957.02,1.48e-15,9.94e-17
4961.407,1.35e-15,9.77e-17
4965.793,1.73e-15,1.05e-16
4970.18,1.83e-15,1.06e-16
4974.566,1.96e-15,1.10e-16
4978.953,1.95e-15,1.10e-16
4983.339,1.39e-15,1.02e-16
4987.725,1.84e-15,1.08e-16
4992.111,1.46e-15,1.01e-16
4996.497,1.13e-15,9.59e-17
5000.883,1.47e-15,9.96e-17
5005.269,1.47e-15,9.93e-17
5009.655,1.55e-15,1.01e-16
5014.04,2.18e-15,1.11e-16
5018.426,2.69e-15,1.19e-16
5022.811,3.14e-15,1.25e-16
5027.197,2.94e-15,1.22e-16
5031.582,2.63e-15,1.17e-16
5035.967,2.21e-15,1.10e-16
5040.352,1.84e-15,1.04e-16
5044.737,1.03e-15,9.19e-17
5049.122,1.39e-15,9.65e-17
5053.507,1.37e-15,9.61e-17
5057.892,1.19e-15,9.48e-17
5062.277,1.18e-15,9.35e-17
5066.661,1.09e-15,9.32e-17
5071.046,1.23e-15,9.58e-17
5075.43,1.22e-15,9.65e-17
5079.814,1.38e-15,9.81e-17
5084.199,1.50e-15,1.02e-16
5088.583,1.05e-15,9.37e-17
5092.967,9.73e-16,9.24e-17
5097.351,8.74e-16,8.93e-17
5101.735,1.16e-15,9.38e-17
5106.119,9.85e-16,9.07e-17
5110.503,1.23e-15,9.42e-17
5114.886,9.83e-16,9.01e-17
5119.27,1.08e-15,9.17e-17
5123.654,1.01e-15,9.06e-17
5128.037,9.35e-16,8.94e-17
5132.421,1.22e-15,9.38e-17
5136.804,1.12e-15,9.16e-17
5141.187,7.15e-16,8.49e-17
5145.57,8.73e-16,8.93e-17
5149.954,9.47e-16,9.09e-17
5154.337,1.19e-15,9.43e-17
5158.72,1.06e-15,9.04e-17
5163.102,1.06e-15,9.02e-17
5167.485,7.90e-16,8.72e-17
5171.868,9.55e-16,8.97e-17
5176.251,1.00e-15,9.04e-17
5180.633,1.04e-15,8.93e-17
5185.016,1.13e-15,9.26e-17
5189.398,6.63e-16,8.34e-17
5193.781,8.67e-16,8.85e-17
5198.163,1.05e-15,8.92e-17
5202.545,8.85e-16,8.63e-17
5206.928,1.02e-15,8.96e-17
5211.31,1.22e-15,9.29e-17
5215.692,1.04e-15,8.91e-17
5220.074,1.01e-15,8.97e-17
5224.456,1.12e-15,8.94e-17
5228.838,1.14e-15,9.01e-17
5233.22,9.69e-16,8.81e-17
5237.601,9.50e-16,8.78e-17
5241.983,3.50e-16,7.72e-17
5246.365,1.08e-15,9.00e-17
5250.746,1.40e-15,9.41e-17
5255.128,1.09e-15,9.05e-17
5259.509,1.06e-15,8.85e-17
5263.891,1.14e-15,9.01e-17
5268.272,1.06e-15,8.82e-17
5272.653,9.12e-16,8.63e-17
5277.034,1.01e-15,8.70e-17
5281.416,1.16e-15,9.02e-17
5285.797,1.12e-15,8.84e-17
5290.178,1.24e-15,8.91e-17
5294.559,9.16e-16,8.64e-17
5298.94,9.64e-16,8.62e-17
5303.32,1.19e-15,9.11e-17
5307.701,1.07e-15,8.93e-17
5312.082,1.41e-15,9.25e-17
5316.463,1.13e-15,8.82e-17
5320.843,1.02e-15,8.81e-17
5325.224,1.16e-15,8.96e-17
5329.604,1.15e-15,9.03e-17
5333.985,1.21e-15,9.02e-17
5338.365,1.06e-15,8.85e-17
5342.746,1.08e-15,8.84e-17
5347.126,1.19e-15,9.24e-17
5351.506,1.10e-15,9.15e-17
5355.886,9.40e-16,8.98e-17
5360.267,1.20e-15,9.30e-17
5364.647,1.33e-15,9.38e-17
5369.027,1.17e-15,9.04e-17
5373.407,3.51e-15,1.22e-16
5377.787,1.17e-15,9.11e-17
5382.167,1.14e-15,9.10e-17
5386.547,8.63e-16,8.60e-17
5390.926,8.36e-16,8.59e-17
5395.306,1.22e-15,9.16e-17
5399.686,1.11e-15,8.98e-17
5404.066,1.38e-15,9.39e-17
5408.445,1.32e-15,9.29e-17
5412.825,8.70e-16,8.79e-17
5417.205,1.39e-15,9.52e-17
5421.584,1.16e-15,9.26e-17
5425.964,9.23e-16,8.84e-17
5430.343,8.27e-16,8.66e-17
5434.722,1.12e-15,9.06e-17
5439.102,1.32e-15,9.29e-17
5443.481,1.23e-15,9.35e-17
5447.86,1.15e-15,9.17e-17
5452.24,1.45e-15,9.81e-17
5456.619,1.17e-15,9.79e-17
5460.998,1.19e-15,1.03e-16
5465.377,1.13e-15,1.01e-16
5469.756,1.19e-15,9.65e-17
5474.135,1.08e-15,8.99e-17
5478.514,1.44e-15,9.45e-17
5482.893,1.11e-15,8.95e-17
5487.272,1.21e-15,9.09e-17
5491.651,1.32e-15,9.15e-17
5496.03,1.24e-15,8.89e-17
5500.409,8.75e-16,8.40e-17
5504.788,9.62e-16,8.54e-17
5509.166,9.43e-16,8.36e-17
5513.545,1.48e-15,9.13e-17
5517.924,1.21e-15,8.80e-17
5522.302,1.10e-15,8.63e-17
5526.681,1.19e-15,8.61e-17
5531.06,1.37e-15,8.83e-17
5535.438,1.28e-15,8.74e-17
5539.817,1.37e-15,8.88e-17
5544.195,1.03e-15,8.32e-17
5548.574,1.39e-15,8.77e-17
5552.952,1.22e-15,8.60e-17
5557.331,1.17e-15,8.43e-17
5561.709,1.40e-15,8.81e-17
5566.087,1.31e-15,8.72e-17
5570.466,1.12e-15,8.47e-17
5574.844,1.42e-15,9.15e-17
5579.222,1.21e-15,9.06e-17
5583.601,1.37e-15,9.05e-17
5587.979,9.49e-16,8.35e-17
5592.357,1.33e-15,8.72e-17
5596.735,1.34e-15,8.71e-17
5601.114,1.17e-15,8.39e-17
5605.492,1.25e-15,8.46e-17
5609.87,1.22e-15,8.53e-17
5614.248,1.13e-15,8.37e-17
5618.626,1.21e-15,8.43e-17
5623.004,1.20e-15,8.35e-17
5627.382,1.33e-15,8.57e-17
5631.76,8.53e-16,7.88e-17
5636.138,8.89e-16,7.88e-17
5640.516,1.23e-15,8.48e-17
5644.894,1.19e-15,8.40e-17
5649.272,7.39e-16,7.72e-17
5653.65,1.09e-15,8.32e-17
5658.028,1.18e-15,8.24e-17
5662.406,9.27e-16,8.02e-17
5666.784,8.20e-16,7.94e-17
5671.162,6.74e-16,7.79e-17
5675.54,1.04e-15,8.39e-17
5679.918,1.02e-15,8.47e-17
5684.295,8.19e-16,8.24e-17
5688.673,1.10e-15,9.07e-17
5693.051,9.55e-16,8.76e-17
5697.429,1.14e-15,8.83e-17
5701.807,1.12e-15,8.53e-17
5706.185,1.03e-15,8.22e-17
5710.562,1.39e-15,8.74e-17
5714.94,1.28e-15,8.59e-17
5719.318,9.38e-16,7.98e-17
5723.696,1.20e-15,8.35e-17
5728.073,1.17e-15,8.19e-17
5732.451,1.10e-15,8.04e-17
5736.829,1.26e-15,8.34e-17
5741.206,1.10e-15,8.11e-17
5745.584,9.78e-16,7.88e-17
