"Time (s) Run #1","Angle (rad) Run #1","Angular Velocity (rad/s) Run #1","Angular Acceleration (rad/s²) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.000,,,0.0000,,
0.050,-0.014,-0.204,,-3.3750E-4,-0.005,
0.100,-0.020,-0.037,3.246,-4.8750E-4,-8.750E-4,0.077
0.150,-0.017,0.120,2.897,-4.1250E-4,0.003,0.069
0.200,-0.008,0.262,2.356,-1.8750E-4,0.006,0.056
0.250,0.009,0.367,1.553,2.2500E-4,0.009,0.037
0.300,0.031,0.424,0.576,7.5000E-4,0.010,0.014
0.350,0.053,0.424,-0.419,0.0013,0.010,-0.010
0.400,0.075,0.377,-1.326,0.0018,0.009,-0.032
0.450,0.093,0.288,-2.059,0.0022,0.007,-0.049
0.500,0.105,0.162,-2.548,0.0025,0.004,-0.061
0.550,0.110,0.021,-2.705,0.0026,5.000E-4,-0.065
0.600,0.107,-0.120,-2.513,0.0026,-0.003,-0.060
0.650,0.097,-0.241,-2.025,0.0023,-0.006,-0.048
0.700,0.082,-0.330,-1.309,0.0020,-0.008,-0.031
0.750,0.063,-0.377,-0.454,0.0015,-0.009,-0.011
0.800,0.042,-0.377,0.454,0.0010,-0.009,0.011
0.850,0.024,-0.330,1.292,5.6250E-4,-0.008,0.031
0.900,0.008,-0.241,1.920,1.8750E-4,-0.006,0.046
0.950,-0.002,-0.126,2.251,-3.7500E-5,-0.003,0.054
1.000,-0.005,-0.005,2.304,-1.1250E-4,-1.250E-4,0.055
1.050,-0.002,0.110,2.129,-3.7500E-5,0.003,0.051
1.100,0.006,0.215,1.728,1.5000E-4,0.005,0.041
1.150,0.020,0.293,1.082,4.8750E-4,0.007,0.026
1.200,0.038,0.330,0.297,9.0000E-4,0.008,0.007
1.250,0.055,0.319,-0.454,0.0013,0.008,-0.011
1.300,0.071,0.278,-1.100,0.0017,0.007,-0.026
1.350,0.083,0.209,-1.815,0.0020,0.005,-0.043
1.400,0.093,0.110,-3.107,0.0022,0.003,-0.074
1.450,0.096,-0.058,-5.306,0.0023,-0.001,-0.127
1.500,0.091,-0.387,-7.871,0.0022,-0.009,-0.188
1.550,0.068,-0.885,-9.599,0.0016,-0.021,-0.229
1.600,0.005,-1.424,-9.774,1.1250E-4,-0.034,-0.233
1.650,-0.083,-1.901,-8.674,-0.0020,-0.045,-0.207
1.700,-0.185,-2.304,-6.597,-0.0044,-0.055,-0.158
1.750,-0.313,-2.608,-3.560,-0.0075,-0.062,-0.085
1.800,-0.457,-2.697,-0.122,-0.0109,-0.064,-0.003
1.850,-0.594,-2.576,2.461,-0.0142,-0.061,0.059
1.900,-0.713,-2.372,3.613,-0.0170,-0.057,0.086
1.950,-0.829,-2.194,3.840,-0.0198,-0.052,0.092
2.000,-0.933,-1.995,3.735,-0.0223,-0.048,0.089
2.050,-1.032,-1.801,3.718,-0.0246,-0.043,0.089
2.100,-1.109,-1.644,3.927,-0.0265,-0.039,0.094
2.150,-1.194,-1.429,4.102,-0.0285,-0.034,0.098
2.200,-1.264,-1.189,3.334,-0.0302,-0.028,0.080
2.250,-1.305,-1.026,1.379,-0.0312,-0.024,0.033
2.300,-1.354,-1.047,-0.541,-0.0323,-0.025,-0.013
2.350,-1.412,-1.157,-1.257,-0.0337,-0.028,-0.030
2.400,-1.472,-1.220,-0.820,-0.0351,-0.029,-0.020
2.450,-1.535,-1.230,-0.122,-0.0366,-0.029,-0.003
2.500,-1.598,-1.220,0.314,-0.0381,-0.029,0.008
2.550,-1.656,-1.194,0.663,-0.0395,-0.029,0.016
2.600,-1.717,-1.162,1.169,-0.0410,-0.028,0.028
2.650,-1.773,-1.089,1.623,-0.0423,-0.026,0.039
2.700,-1.828,-0.974,1.553,-0.0437,-0.023,0.037
2.750,-1.871,-0.895,0.768,-0.0447,-0.021,0.018
2.800,-1.912,-0.890,-0.227,-0.0456,-0.021,-0.005
2.850,-1.959,-0.942,-0.803,-0.0468,-0.022,-0.019
2.900,-2.007,-0.995,-0.925,-0.0479,-0.024,-0.022
2.950,-2.058,-1.031,-0.750,-0.0491,-0.025,-0.018
3.000,-2.111,-1.079,-0.262,-0.0504,-0.026,-0.006
3.050,-2.165,-1.084,0.541,-0.0517,-0.026,0.013
3.100,-2.224,-1.021,1.309,-0.0531,-0.024,0.031
3.150,-2.270,-0.927,1.693,-0.0542,-0.022,0.040
3.200,-2.312,-0.843,2.426,-0.0552,-0.020,0.058
3.250,-2.355,-0.754,6.213,-0.0562,-0.018,0.148
3.300,-2.392,-0.466,16.616,-0.0571,-0.011,0.397
3.350,-2.416,0.560,34.278,-0.0577,0.013,0.818
3.400,-2.391,2.827,53.739,-0.0571,0.068,1.283
3.450,-2.188,6.236,65.415,-0.0522,0.149,1.562
3.500,-1.772,9.980,62.588,-0.0423,0.238,1.494
3.550,-1.164,13.032,45.989,-0.0278,0.311,1.098
3.600,-0.421,14.807,22.811,-0.0100,0.353,0.545
3.650,0.371,15.205,2.286,0.0089,0.363,0.055
3.700,1.136,14.650,-8.779,0.0271,0.350,-0.210
3.750,1.841,13.875,-8.622,0.0440,0.331,-0.206
3.800,2.504,13.504,-1.187,0.0598,0.322,-0.028
3.850,3.165,13.765,6.091,0.0756,0.329,0.145
3.900,3.863,14.404,6.021,0.0922,0.344,0.144
3.950,4.612,14.802,-4.869,0.1101,0.353,-0.116
4.000,5.378,14.273,-24.662,0.1284,0.341,-0.589
4.050,6.090,12.435,-47.386,0.1454,0.297,-1.131
4.100,6.666,9.372,-66.637,0.1592,0.224,-1.591
4.150,7.054,5.487,-78.854,0.1684,0.131,-1.883
4.200,7.226,1.230,-83.724,0.1725,0.029,-1.999
4.250,7.177,-3.079,-82.031,0.1713,-0.074,-1.958
4.300,6.913,-7.179,-73.670,0.1650,-0.171,-1.759
4.350,6.443,-10.713,-58.085,0.1538,-0.256,-1.387
4.400,5.806,-13.237,-36.669,0.1386,-0.316,-0.875
4.450,5.071,-14.446,-14.259,0.1211,-0.345,-0.340
4.500,4.315,-14.446,2.478,0.1030,-0.345,0.059
4.550,3.600,-13.781,8.884,0.0859,-0.329,0.212
4.600,2.942,-13.158,5.236,0.0702,-0.314,0.125
4.650,2.309,-13.069,-3.316,0.0551,-0.312,-0.079
4.700,1.659,-13.587,-9.372,0.0396,-0.324,-0.224
4.750,0.963,-14.347,-6.720,0.0230,-0.342,-0.160
4.800,0.212,-14.692,6.789,0.0051,-0.351,0.162
4.850,-0.548,-13.980,28.100,-0.0131,-0.334,0.671
4.900,-1.238,-11.917,50.772,-0.0295,-0.285,1.212
4.950,-1.781,-8.692,68.818,-0.0425,-0.207,1.643
5.000,-2.130,-4.749,79.552,-0.0508,-0.113,1.899
5.050,-2.264,-0.503,83.235,-0.0540,-0.012,1.987
5.100,-2.180,3.759,80.547,-0.0520,0.090,1.923
5.150,-1.882,7.770,71.052,-0.0449,0.186,1.696
5.200,-1.384,11.142,54.262,-0.0330,0.266,1.295
5.250,-0.729,13.430,32.097,-0.0174,0.321,0.766
5.300,0.009,14.378,9.861,2.2500E-4,0.343,0.235
5.350,0.754,14.163,-5.864,0.0180,0.338,-0.140
5.400,1.447,13.367,-11.065,0.0345,0.319,-0.264
5.450,2.083,12.682,-6.702,0.0497,0.303,-0.160
5.500,2.691,12.540,1.990,0.0642,0.299,0.047
5.550,3.314,12.980,8.151,0.0791,0.310,0.195
5.600,3.977,13.666,6.231,0.0950,0.326,0.149
5.650,4.690,14.001,-5.829,0.1120,0.334,-0.139
5.700,5.415,13.388,-25.604,0.1293,0.320,-0.611
5.750,6.077,11.509,-47.456,0.1451,0.275,-1.133
5.800,6.607,8.477,-65.659,0.1577,0.202,-1.568
5.850,6.951,4.676,-77.021,0.1659,0.112,-1.839
5.900,7.084,0.524,-81.053,0.1691,0.013,-1.935
5.950,7.003,-3.644,-78.121,0.1672,-0.087,-1.865
6.000,6.712,-7.519,-68.120,0.1602,-0.179,-1.626
6.050,6.230,-10.718,-51.208,0.1487,-0.256,-1.223
6.100,5.601,-12.839,-29.706,0.1337,-0.307,-0.709
6.150,4.898,-13.687,-8.779,0.1169,-0.327,-0.210
6.200,4.192,-13.462,5.585,0.1001,-0.321,0.133
6.250,3.533,-12.729,9.983,0.0843,-0.304,0.238
6.300,2.928,-12.121,5.498,0.0699,-0.289,0.131
6.350,2.344,-12.032,-3.124,0.0559,-0.287,-0.075
6.400,1.745,-12.509,-9.774,0.0417,-0.299,-0.233
6.450,1.106,-13.278,-9.128,0.0264,-0.317,-0.218
6.500,0.413,-13.807,1.431,0.0099,-0.330,0.034
6.550,-0.308,-13.472,20.351,-0.0074,-0.322,0.486
6.600,-0.983,-11.886,42.394,-0.0235,-0.284,1.012
6.650,-1.539,-9.095,61.610,-0.0368,-0.217,1.471
6.700,-1.921,-5.466,74.386,-0.0459,-0.130,1.776
6.750,-2.099,-1.408,79.954,-0.0501,-0.034,1.909
6.800,-2.064,2.744,78.610,-0.0493,0.065,1.877
6.850,-1.819,6.681,70.215,-0.0434,0.159,1.676
6.900,-1.378,10.027,54.681,-0.0329,0.239,1.305
6.950,-0.781,12.373,33.755,-0.0186,0.295,0.806
7.000,-0.094,13.456,12.025,-0.0023,0.321,0.287
7.050,0.609,13.378,-4.555,0.0145,0.319,-0.109
7.100,1.269,12.629,-11.851,0.0303,0.301,-0.283
7.150,1.869,11.833,-9.826,0.0446,0.283,-0.235
7.200,2.435,11.446,-2.094,0.0581,0.273,-0.050
7.250,2.994,11.613,6.091,0.0715,0.277,0.145
7.300,3.578,12.221,9.547,0.0854,0.292,0.228
7.350,4.210,12.886,4.608,0.1005,0.308,0.110
7.400,4.885,13.038,-9.355,0.1166,0.311,-0.223
7.450,5.553,12.179,-29.234,0.1326,0.291,-0.698
7.500,6.147,10.121,-49.707,0.1467,0.242,-1.187
7.550,6.602,7.032,-65.973,0.1576,0.168,-1.575
7.600,6.872,3.272,-75.468,0.1641,0.078,-1.802
7.650,6.937,-0.764,-77.580,0.1656,-0.018,-1.852
7.700,6.794,-4.723,-72.344,0.1622,-0.113,-1.727
7.750,6.451,-8.247,-59.917,0.1540,-0.197,-1.430
7.800,5.941,-10.948,-41.487,0.1418,-0.261,-0.990
7.850,5.316,-12.514,-20.455,0.1269,-0.299,-0.488
7.900,4.645,-12.901,-2.042,0.1109,-0.308,-0.049
7.950,3.993,-12.430,9.041,0.0953,-0.297,0.216
8.000,3.393,-11.645,11.030,0.0810,-0.278,0.263
8.050,2.838,-11.058,5.637,0.0678,-0.264,0.135
8.100,2.306,-10.964,-3.159,0.0550,-0.262,-0.075
8.150,1.762,-11.420,-10.420,0.0421,-0.273,-0.249
8.200,1.180,-12.231,-11.380,0.0282,-0.292,-0.272
8.250,0.539,-12.917,-3.054,0.0129,-0.308,-0.073
8.300,-0.140,-12.881,13.928,-0.0033,-0.308,0.332
8.350,-0.793,-11.687,35.238,-0.0189,-0.279,0.841
8.400,-1.352,-9.283,55.205,-0.0323,-0.222,1.318
8.450,-1.755,-5.943,69.604,-0.0419,-0.142,1.662
8.500,-1.963,-2.063,76.795,-0.0469,-0.049,1.833
8.550,-1.965,1.974,76.707,-0.0469,0.047,1.831
8.600,-1.761,5.838,69.447,-0.0420,0.139,1.658
8.650,-1.365,9.168,55.170,-0.0326,0.219,1.317
8.700,-0.812,11.577,35.360,-0.0194,0.276,0.844
8.750,-0.163,12.786,13.945,-0.0039,0.305,0.333
8.800,0.511,12.828,-3.613,0.0122,0.306,-0.086
8.850,1.148,12.100,-12.933,0.0274,0.289,-0.309
8.900,1.725,11.179,-12.968,0.0412,0.267,-0.310
8.950,2.253,10.556,-6.109,0.0538,0.252,-0.146
9.000,2.760,10.482,3.281,0.0659,0.250,0.078
9.050,3.280,10.964,10.332,0.0783,0.262,0.247
9.100,3.842,11.755,10.751,0.0917,0.281,0.257
9.150,4.459,12.383,2.182,0.1065,0.296,0.052
9.200,5.107,12.289,-14.451,0.1219,0.293,-0.345
9.250,5.730,11.085,-35.029,0.1368,0.265,-0.836
9.300,6.258,8.718,-54.227,0.1494,0.208,-1.295
9.350,6.633,5.445,-68.033,0.1584,0.130,-1.624
9.400,6.819,1.660,-74.700,0.1628,0.040,-1.783
9.450,6.803,-2.267,-73.950,0.1624,-0.054,-1.765
9.500,6.586,-5.980,-65.816,0.1572,-0.143,-1.571
9.550,6.186,-9.100,-50.772,0.1477,-0.217,-1.212
9.600,5.642,-11.252,-30.927,0.1347,-0.269,-0.738
9.650,5.017,-12.226,-10.542,0.1198,-0.292,-0.252
9.700,4.379,-12.132,5.219,0.1045,-0.290,0.125
9.750,3.781,-11.383,12.723,0.0903,-0.272,0.304
9.800,3.239,-10.530,11.554,0.0773,-0.251,0.276
9.850,2.743,-10.011,4.276,0.0655,-0.239,0.102
9.900,2.259,-10.037,-5.027,0.0539,-0.240,-0.120
9.950,1.758,-10.592,-12.060,0.0420,-0.253,-0.288
10.000,1.213,-11.456,-12.985,0.0289,-0.273,-0.310
10.050,0.611,-12.210,-5.358,0.0146,-0.292,-0.128
10.100,-0.031,-12.315,10.455,-7.5000E-4,-0.294,0.250
10.150,-0.661,-11.341,30.857,-0.0158,-0.271,0.737
10.200,-1.210,-9.189,50.632,-0.0289,-0.219,1.209
10.250,-1.613,-6.079,65.502,-0.0385,-0.145,1.564
10.300,-1.836,-2.388,73.444,-0.0438,-0.057,1.753
10.350,-1.858,1.508,74.037,-0.0444,0.036,1.767
10.400,-1.681,5.257,67.317,-0.0401,0.126,1.607
10.450,-1.316,8.488,53.599,-0.0314,0.203,1.280
10.500,-0.801,10.828,34.505,-0.0191,0.258,0.824
10.550,-0.192,12.017,13.788,-0.0046,0.287,0.329
10.600,0.443,12.079,-3.491,0.0106,0.288,-0.083
10.650,1.045,11.373,-13.282,0.0249,0.272,-0.317
10.700,1.587,10.425,-14.539,0.0379,0.249,-0.347
10.750,2.077,9.687,-9.180,0.0496,0.231,-0.219
10.800,2.538,9.404,-0.541,0.0606,0.225,-0.013
10.850,2.999,9.639,7.854,0.0716,0.230,0.188
10.900,3.486,10.310,12.497,0.0832,0.246,0.298
10.950,4.021,11.137,10.315,0.0960,0.266,0.246
11.000,4.609,11.655,-0.070,0.1100,0.278,-0.002
11.050,5.217,11.388,-17.139,0.1245,0.272,-0.409
11.100,5.787,10.037,-36.844,0.1381,0.240,-0.880
11.150,6.260,7.613,-54.489,0.1494,0.182,-1.301
11.200,6.577,4.377,-66.584,0.1570,0.105,-1.590
11.250,6.710,0.702,-71.541,0.1602,0.017,-1.708
11.300,6.649,-3.026,-69.028,0.1587,-0.072,-1.648
11.350,6.398,-6.446,-59.289,0.1527,-0.154,-1.415
11.400,5.982,-9.184,-43.389,0.1428,-0.219,-1.036
11.450,5.444,-10.928,-23.946,0.1300,-0.261,-0.572
11.500,4.847,-11.561,-5.184,0.1157,-0.276,-0.124
11.550,4.254,-11.252,8.500,0.1016,-0.269,0.203
11.600,3.704,-10.414,14.451,0.0884,-0.249,0.345
11.650,3.212,-9.524,12.723,0.0767,-0.227,0.304
11.700,2.765,-8.954,5.585,0.0660,-0.214,0.133
11.750,2.336,-8.896,-3.718,0.0558,-0.212,-0.089
11.800,1.894,-9.367,-11.746,0.0452,-0.224,-0.280
11.850,1.414,-10.226,-15.167,0.0338,-0.244,-0.362
11.900,0.877,-11.147,-11.275,0.0209,-0.266,-0.269
11.950,0.286,-11.666,0.768,0.0068,-0.279,0.018
12.000,-0.322,-11.310,18.937,-0.0077,-0.270,0.452
12.050,-0.888,-9.833,38.886,-0.0212,-0.235,0.928
12.100,-1.343,-7.299,55.990,-0.0321,-0.174,1.337
12.150,-1.643,-4.011,67.213,-0.0392,-0.096,1.605
12.200,-1.756,-0.335,71.349,-0.0419,-0.008,1.703
12.250,-1.678,3.367,68.155,-0.0400,0.080,1.627
12.300,-1.409,6.728,57.753,-0.0336,0.161,1.379
12.350,-0.980,9.372,41.207,-0.0234,0.224,0.984
12.400,-0.435,10.985,21.328,-0.0104,0.262,0.509
12.450,0.160,11.472,2.531,0.0038,0.274,0.060
12.500,0.746,11.027,-10.786,0.0178,0.263,-0.258
12.550,1.280,10.090,-16.301,0.0306,0.241,-0.389
12.600,1.753,9.132,-14.556,0.0419,0.218,-0.347
12.650,2.180,8.477,-8.011,0.0521,0.202,-0.191
12.700,2.586,8.273,0.576,0.0617,0.198,0.014
12.750,2.991,8.545,8.709,0.0714,0.204,0.208
12.800,3.424,9.236,13.753,0.0818,0.221,0.328
12.850,3.905,10.126,13.020,0.0932,0.242,0.311
12.900,4.442,10.818,4.852,0.1061,0.258,0.116
12.950,5.011,10.870,-10.071,0.1196,0.260,-0.240
13.000,5.564,9.948,-28.641,0.1328,0.237,-0.684
13.050,6.044,7.974,-46.583,0.1443,0.190,-1.112
13.100,6.393,5.121,-60.127,0.1526,0.122,-1.435
13.150,6.574,1.723,-67.091,0.1569,0.041,-1.602
13.200,6.571,-1.838,-66.759,0.1569,-0.044,-1.594
13.250,6.384,-5.194,-59.254,0.1524,-0.124,-1.415
13.300,6.032,-7.990,-45.431,0.1440,-0.191,-1.085
13.350,5.554,-9.901,-27.419,0.1326,-0.236,-0.655
13.400,5.003,-10.760,-8.849,0.1194,-0.257,-0.211
13.450,4.442,-10.650,6.109,0.1061,-0.254,0.146
13.500,3.916,-9.896,14.486,0.0935,-0.236,0.346
13.550,3.446,-8.933,15.621,0.0823,-0.213,0.373
13.600,3.030,-8.131,10.996,0.0723,-0.194,0.262
13.650,2.648,-7.728,3.142,0.0632,-0.185,0.075
13.700,2.275,-7.802,-5.445,0.0543,-0.186,-0.130
13.750,1.883,-8.320,-12.601,0.0450,-0.199,-0.301
13.800,1.455,-9.173,-16.127,0.0347,-0.219,-0.385
13.850,0.972,-10.137,-13.736,0.0232,-0.242,-0.328
13.900,0.434,-10.823,-4.067,0.0104,-0.258,-0.097
13.950,-0.137,-10.791,11.973,-0.0033,-0.258,0.286
14.000,-0.683,-9.739,31.015,-0.0163,-0.232,0.740
14.050,-1.148,-7.629,48.695,-0.0274,-0.182,1.163
14.100,-1.477,-4.681,61.453,-0.0352,-0.112,1.467
14.150,-1.632,-1.241,67.422,-0.0390,-0.030,1.610
14.200,-1.604,2.309,66.113,-0.0383,0.055,1.578
14.250,-1.393,5.608,57.718,-0.0333,0.134,1.378
14.300,-1.023,8.304,43.145,-0.0244,0.198,1.030
14.350,-0.531,10.079,24.627,-0.0127,0.241,0.588
14.400,0.025,10.781,5.934,6.0000E-4,0.257,0.142
14.450,0.583,10.519,-8.744,0.0139,0.251,-0.209
14.500,1.098,9.645,-16.668,0.0262,0.230,-0.398
14.550,1.552,8.592,-17.558,0.0371,0.205,-0.419
14.600,1.949,7.707,-13.125,0.0465,0.184,-0.313
14.650,2.309,7.189,-5.725,0.0551,0.172,-0.137
14.700,2.653,7.110,2.601,0.0633,0.170,0.062
14.750,3.005,7.472,10.105,0.0717,0.178,0.241
14.800,3.387,8.205,14.905,0.0809,0.196,0.356
14.850,3.817,9.126,14.905,0.0911,0.218,0.356
14.900,4.302,9.927,8.535,0.1027,0.237,0.204
14.950,4.827,10.221,-4.154,0.1152,0.244,-0.099
15.000,5.355,9.671,-21.014,0.1278,0.231,-0.502
15.050,5.831,8.137,-38.432,0.1392,0.194,-0.918
15.100,6.200,5.707,-52.779,0.1480,0.136,-1.260
15.150,6.423,2.655,-61.540,0.1533,0.063,-1.469
15.200,6.475,-0.681,-63.478,0.1546,-0.016,-1.515
15.250,6.352,-3.937,-58.346,0.1517,-0.094,-1.393
15.300,6.066,-6.744,-46.792,0.1448,-0.161,-1.117
15.350,5.650,-8.786,-30.648,0.1349,-0.210,-0.732
15.400,5.154,-9.870,-12.985,0.1230,-0.236,-0.310
15.450,4.629,-10.006,2.548,0.1105,-0.239,0.061
15.500,4.126,-9.420,12.950,0.0985,-0.225,0.309
15.550,3.676,-8.472,17.017,0.0878,-0.202,0.406
15.600,3.281,-7.519,15.499,0.0783,-0.179,0.370
15.650,2.933,-6.802,10.210,0.0700,-0.162,0.244
15.700,2.614,-6.440,2.932,0.0624,-0.154,0.070
15.750,2.303,-6.487,-4.939,0.0550,-0.155,-0.118
15.800,1.979,-6.953,-12.113,0.0473,-0.166,-0.289
15.850,1.621,-7.770,-16.947,0.0387,-0.185,-0.405
15.900,1.210,-8.791,-17.401,0.0289,-0.210,-0.415
15.950,0.741,-9.734,-11.694,0.0177,-0.232,-0.279
16.000,0.221,-10.210,0.559,0.0053,-0.244,0.013
16.050,-0.311,-9.859,17.488,-0.0074,-0.235,0.417
16.100,-0.801,-8.498,35.500,-0.0191,-0.203,0.847
16.150,-1.194,-6.199,50.789,-0.0285,-0.148,1.213
16.200,-1.445,-3.220,60.650,-0.0345,-0.077,1.448
16.250,-1.527,0.099,63.774,-0.0364,0.002,1.522
16.300,-1.434,3.398,59.847,-0.0342,0.081,1.429
16.350,-1.175,6.315,49.306,-0.0280,0.151,1.177
16.400,-0.778,8.519,33.598,-0.0186,0.203,0.802
16.450,-0.289,9.770,15.499,-0.0069,0.233,0.370
16.500,0.236,10.022,-1.222,0.0056,0.239,-0.029
16.550,0.743,9.461,-13.125,0.0177,0.226,-0.313
16.600,1.197,8.461,-18.623,0.0286,0.202,-0.445
16.650,1.588,7.393,-18.396,0.0379,0.177,-0.439
16.700,1.929,6.503,-14.347,0.0461,0.155,-0.343
16.750,2.229,5.901,-8.186,0.0532,0.141,-0.195
16.800,2.507,5.650,-1.030,0.0599,0.135,-0.025
16.850,2.780,5.791,6.213,0.0664,0.138,0.148
16.900,3.072,6.304,12.444,0.0734,0.151,0.297
16.950,3.401,7.110,16.354,0.0812,0.170,0.390
17.000,3.778,8.063,16.458,0.0902,0.193,0.393
17.050,4.208,8.938,11.380,0.1005,0.213,0.272
17.100,4.684,9.414,0.681,0.1118,0.225,0.016
17.150,5.176,9.173,-14.329,0.1236,0.219,-0.342
17.200,5.634,8.032,-30.753,0.1345,0.192,-0.734
